,ID,Pred
0,2019_1101_1113,0.36357500890528494
1,2019_1101_1120,0.45410852791071077
2,2019_1101_1124,0.3540837176517062
3,2019_1101_1125,0.6335595821375288
4,2019_1101_1133,0.2340684443871155
5,2019_1101_1138,0.7134380473997928
6,2019_1101_1153,0.63681611425323
7,2019_1101_1159,0.43344086701444584
8,2019_1101_1181,0.7211896761985371
9,2019_1101_1192,0.2517410365641637
10,2019_1101_1196,0.2077444294392895
11,2019_1101_1199,0.5656733390557465
12,2019_1101_1205,0.3182067854938103
13,2019_1101_1209,0.4201048039961174
14,2019_1101_1211,0.7722303063042094
15,2019_1101_1222,0.7758461213396733
16,2019_1101_1233,0.19048721768371701
17,2019_1101_1234,0.3650191806781091
18,2019_1101_1235,0.35255391798788815
19,2019_1101_1242,0.49044821487128654
20,2019_1101_1243,0.5532271632597383
21,2019_1101_1246,0.6591786192977152
22,2019_1101_1251,0.5569162815658988
23,2019_1101_1257,0.27129876649971685
24,2019_1101_1261,0.6497632998277807
25,2019_1101_1266,0.4846540541772858
26,2019_1101_1268,0.4769074325131124
27,2019_1101_1276,0.6590736212791966
28,2019_1101_1277,0.659305574657152
29,2019_1101_1278,0.3000279074544667
30,2019_1101_1279,0.3358135823846008
31,2019_1101_1280,0.4587349468233568
32,2019_1101_1285,0.4385651460190191
33,2019_1101_1293,0.69873911487999
34,2019_1101_1295,0.171425541416801
35,2019_1101_1297,0.5332478167565483
36,2019_1101_1300,0.12222372818525018
37,2019_1101_1305,0.7189811806408068
38,2019_1101_1308,0.6779365649694951
39,2019_1101_1314,0.6833646105135971
40,2019_1101_1318,0.3895148399827263
41,2019_1101_1326,0.23760942815286645
42,2019_1101_1328,0.25403137043123536
43,2019_1101_1330,0.4675822693564815
44,2019_1101_1332,0.3388927186921936
45,2019_1101_1341,0.23972908417965133
46,2019_1101_1345,0.5589331690207472
47,2019_1101_1371,0.30441185034618456
48,2019_1101_1385,0.32517522042409097
49,2019_1101_1387,0.2749720616817888
50,2019_1101_1388,0.365865094051708
51,2019_1101_1393,0.3317364556309582
52,2019_1101_1396,0.45095230879109516
53,2019_1101_1397,0.7202777673099895
54,2019_1101_1403,0.6640267935320632
55,2019_1101_1414,0.6493448735770768
56,2019_1101_1416,0.5208098131158307
57,2019_1101_1429,0.5946484853804166
58,2019_1101_1433,0.5781818958239104
59,2019_1101_1436,0.6104239789272354
60,2019_1101_1437,0.44326941074830906
61,2019_1101_1438,0.8115886545893138
62,2019_1101_1439,0.5439895826992737
63,2019_1101_1449,0.5885088842381627
64,2019_1101_1458,0.49969770997166585
65,2019_1101_1459,0.697768599555561
66,2019_1101_1463,0.47676974414180684
67,2019_1113_1120,0.5936335511880863
68,2019_1113_1124,0.49048972697942606
69,2019_1113_1125,0.7522426221101
70,2019_1113_1133,0.34923844275842264
71,2019_1113_1138,0.8138512761325187
72,2019_1113_1153,0.7548525389379537
73,2019_1113_1159,0.5732845434240386
74,2019_1113_1181,0.8195736070110422
75,2019_1113_1192,0.37139022294793556
76,2019_1113_1196,0.31529388063891817
77,2019_1113_1199,0.6957859895566032
78,2019_1113_1205,0.4504298391832342
79,2019_1113_1209,0.5598978920559547
80,2019_1113_1211,0.8561948440169148
81,2019_1113_1222,0.8587215895967023
82,2019_1113_1233,0.2923999192585147
83,2019_1113_1234,0.502361471077795
84,2019_1113_1235,0.4888165893579769
85,2019_1113_1242,0.6282879431585983
86,2019_1113_1243,0.6849920327056154
87,2019_1113_1246,0.7725430699421323
88,2019_1113_1251,0.6882063304892695
89,2019_1113_1257,0.3953323178503536
90,2019_1113_1261,0.7651436917258553
91,2019_1113_1266,0.6228558829237114
92,2019_1113_1268,0.6155387303064501
93,2019_1113_1276,0.7724609410349442
94,2019_1113_1277,0.772642362145723
95,2019_1113_1278,0.4294552340786453
96,2019_1113_1279,0.4703060278993364
97,2019_1113_1280,0.5981239597998157
98,2019_1113_1285,0.5783743444339671
99,2019_1113_1293,0.8028798561984872
100,2019_1113_1295,0.2664973622853335
101,2019_1113_1297,0.6673621848312616
102,2019_1113_1300,0.19647901069370832
103,2019_1113_1305,0.817947699794062
104,2019_1113_1308,0.7870770924893014
105,2019_1113_1314,0.7912321389616171
106,2019_1113_1318,0.5284040918864795
107,2019_1113_1326,0.3537171044194388
108,2019_1113_1328,0.3742247009933608
109,2019_1113_1330,0.6066465515512256
110,2019_1113_1332,0.4737387657729285
111,2019_1113_1341,0.3563883468482637
112,2019_1113_1345,0.6899582983126533
113,2019_1113_1371,0.4345562696687747
114,2019_1113_1385,0.458347244907359
115,2019_1113_1387,0.39976368621568303
116,2019_1113_1388,0.5032734027176969
117,2019_1113_1393,0.4657410303017455
118,2019_1113_1396,0.5905566776265713
119,2019_1113_1397,0.8189026805075901
120,2019_1113_1403,0.7763258317420806
121,2019_1113_1414,0.764813216073806
122,2019_1113_1416,0.6561938370449281
123,2019_1113_1429,0.720371812752057
124,2019_1113_1433,0.7064916251227824
125,2019_1113_1436,0.7334476540498681
126,2019_1113_1437,0.5830209500286485
127,2019_1113_1438,0.8832379864772353
128,2019_1113_1439,0.6768876669170856
129,2019_1113_1449,0.715224522265548
130,2019_1113_1458,0.6368878139750127
131,2019_1113_1459,0.8021498362391251
132,2019_1113_1463,0.6154081054476167
133,2019_1120_1124,0.3979910849069299
134,2019_1120_1125,0.6758603404741539
135,2019_1120_1133,0.26929834961950694
136,2019_1120_1138,0.7501541757659046
137,2019_1120_1153,0.6789314552905386
138,2019_1120_1159,0.4798778232536898
139,2019_1120_1181,0.7572505519957042
140,2019_1120_1192,0.28862851645676035
141,2019_1120_1196,0.2402550835774061
142,2019_1120_1199,0.6109990747991727
143,2019_1120_1205,0.36014586870913223
144,2019_1120_1209,0.46628889546473107
145,2019_1120_1211,0.8034884659777117
146,2019_1120_1222,0.806732251571318
147,2019_1120_1233,0.22105074825801752
148,2019_1120_1234,0.40942303863882257
149,2019_1120_1235,0.39638800117927697
150,2019_1120_1242,0.5372016453522459
151,2019_1120_1243,0.5989308534735711
152,2019_1120_1246,0.6999227206836224
153,2019_1120_1251,0.6025137322202296
154,2019_1120_1257,0.30986526607908926
155,2019_1120_1261,0.6911055239873545
156,2019_1120_1266,0.531431201577063
157,2019_1120_1268,0.523696695398501
158,2019_1120_1276,0.6998245588562352
159,2019_1120_1277,0.7000414052647984
160,2019_1120_1278,0.34076856897112373
161,2019_1120_1279,0.37878398463477214
162,2019_1120_1280,0.505464125294089
163,2019_1120_1285,0.48508105408685065
164,2019_1120_1293,0.736643359545778
165,2019_1120_1295,0.19968507337059072
166,2019_1120_1297,0.5794416367505462
167,2019_1120_1300,0.14377979479208436
168,2019_1120_1305,0.755230753363624
169,2019_1120_1308,0.7173995892826388
170,2019_1120_1314,0.7224348394022415
171,2019_1120_1318,0.43485783831098823
172,2019_1120_1326,0.27318220271779414
173,2019_1120_1328,0.29112387984146104
174,2019_1120_1330,0.5143562524200316
175,2019_1120_1332,0.3820304992799949
176,2019_1120_1341,0.27550451932313713
177,2019_1120_1345,0.6044704726145942
178,2019_1120_1371,0.3454540130137196
179,2019_1120_1385,0.36753762976816695
180,2019_1120_1387,0.3138358482680389
181,2019_1120_1388,0.41030536245320137
182,2019_1120_1393,0.37447929860058815
183,2019_1120_1396,0.4976175575872628
184,2019_1120_1397,0.7564167518288323
